layer,z,t_naive_s,m73_dt_s,fan,temp,objects,extrusion_by_object
1,0.2,265.1,480,0,0,278|316|354|403|444|577,278:59.0|316:61.1|354:74.6|403:204.1|444:292.9|577:292.9
2,0.4,192.1,240,153,0,278|316|354|403|444|577,278:55.8|316:59.5|354:74.5|403:169.7|444:292.7|577:292.7
3,0.6,185.2,240,153,0,278|316|354|403|444|577,278:57.4|316:61.1|354:74.5|403:136.4|444:292.7|577:292.7
4,0.8,164.2,240,153,0,278|316|354|403|444|577,278:35.2|316:36.7|354:23.6|403:103.1|444:291.3|577:290.2
5,1.0,49.5,60,170,0,278|316|354|403|444|577,278:34.4|316:34.9|354:23.6|403:69.8|444:15.6|577:35.4
6,1.2,42.7,60,175,0,278|316|354|403|444|577,278:35.1|316:34.9|354:23.6|403:34.5|444:15.6|577:35.4
7,1.4,36.3,60,181,0,278|316|354|444|577,278:33.6|316:35.1|354:23.4|444:15.6|577:36.2
8,1.6,36.3,0,181,0,278|316|354|444|577,278:35.2|316:33.3|354:23.5|444:15.6|577:36.2
9,1.8,36.0,60,181,0,278|316|354|444|577,278:33.5|316:35.1|354:23.6|444:15.6|577:36.2
10,2.0,36.2,60,181,0,278|316|354|444|577,278:35.2|316:34.1|354:23.6|444:15.6|577:36.2
11,2.2,36.1,60,181,0,278|316|354|444|577,278:36.7|316:34.1|354:23.5|444:15.6|577:36.2
12,2.4,36.2,0,181,0,278|316|354|444|577,278:34.3|316:37.3|354:23.5|444:15.6|577:36.2
13,2.6,36.5,60,178,0,278|316|354|444|577,278:35.2|316:34.9|354:23.4|444:15.6|577:36.2
14,2.8,36.2,60,181,0,278|316|354|444|577,278:35.2|316:35.0|354:23.6|444:15.6|577:36.2
15,3.0,36.1,60,181,0,278|316|354|444|577,278:34.4|316:36.5|354:23.6|444:15.6|577:36.2
16,3.2,36.0,60,181,0,278|316|354|444|577,278:31.9|316:34.1|354:23.5|444:15.6|577:36.2
17,3.4,36.2,0,181,0,278|316|354|444|577,278:33.5|316:33.4|354:23.5|444:15.6|577:36.2
18,3.6,36.2,60,181,0,278|316|354|444|577,278:34.5|316:34.1|354:23.4|444:15.6|577:36.2
